Emotions,Path
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1080.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1079.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1008.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1020.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1084.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1075.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1061.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1049.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1047.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1023.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1016.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1053.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1044.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1016.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1050.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1088.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1002.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1077.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1087.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1056.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1054.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1085.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1028.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1014.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1014.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1035.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1079.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1063.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1084.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1047.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1053.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1041.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1069.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1068.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1040.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1083.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1052.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1046.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1091.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1037.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1089.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1076.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1078.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1034.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1015.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1001.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1015.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1001.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1029.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1082.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1090.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1055.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1048.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1079.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1070.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1080.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1064.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1005.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1057.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1011.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1039.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1072.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1039.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1005.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1011.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1054.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1056.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1087.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1050.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1044.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1045.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1051.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1086.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1043.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1082.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1031.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1055.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1073.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1019.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1038.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1004.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1010.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1038.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1042.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1059.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1065.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1078.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1081.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1071.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1067.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1083.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1052.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1046.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1040.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1006.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1091.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1068.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1012.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1033.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1027.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1043.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1018.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1030.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1024.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1082.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1055.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1090.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1085.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1054.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1025.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1026.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1058.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1056.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1032.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1013.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1084.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1007.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1069.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1041.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1047.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1053.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1066.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1020.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1008.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1001.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1015.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1060.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1048.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1074.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1032.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1026.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1041.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1025.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1003.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1048.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1069.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1056.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1035.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1034.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1043.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1083.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1018.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1002.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1068.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1040.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1024.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1030.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1027.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1049.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1033.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1075.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1061.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1014.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1009.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1021.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1088.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1037.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1016.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1019.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1063.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1077.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1031.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1028.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1042.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1077.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1081.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1088.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1055.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1024.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1082.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1030.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1018.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1036.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1022.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1023.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1025.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1054.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1080.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1057.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1029.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1062.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1062.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1076.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1089.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1017.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1066.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1034.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1072.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1066.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1037.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1090.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1078.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1009.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1021.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1033.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1027.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1026.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1032.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1020.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1008.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1079.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1085.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1067.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1004.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1010.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1073.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1035.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1067.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1038.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1025.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1071.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1023.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1065.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1059.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1008.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1006.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1012.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1059.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1050.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1071.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1020.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1065.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1044.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1087.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1053.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1047.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1084.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1031.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Male - 1019.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1091.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Female - 1037.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1046.wav
sad,AudioWAV - Organised - Copy/The airplane is almost full/Sad - Unspecified - Female - 1052.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1086.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1021.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1045.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1064.wav
neutral,AudioWAV - Organised - Copy/The airplane is almost full/Neutral - Unspecified - Male - 1070.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Male - 1051.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1013.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Female - 1007.wav
fear,AudioWAV - Organised - Copy/The airplane is almost full/Fear - Unspecified - Female - 1009.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1064.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1022.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Male - 1036.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Male - 1070.wav
angry,AudioWAV - Organised - Copy/The airplane is almost full/Anger - Unspecified - Female - 1058.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1024.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1039.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1030.wav
disgust,AudioWAV - Organised - Copy/The airplane is almost full/Disgust - Unspecified - Female - 1018.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1011.wav
happy,AudioWAV - Organised - Copy/The airplane is almost full/Happy - Unspecified - Male - 1005.wav
angry,AudioWAV - Organised - Copy/Don't forget a jacket/Anger - Unspecified - Female - 1082.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Female - 1029.wav
happy,AudioWAV - Organised - Copy/Don't forget a jacket/Happy - Unspecified - Male - 1034.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1069.wav
angry,AudioWAV - Organised - Copy/Don't forget a jacket/Anger - Unspecified - Female - 1055.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1041.wav
fear,AudioWAV - Organised - Copy/Don't forget a jacket/Fear - Unspecified - Female - 1010.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Male - 1041.wav
fear,AudioWAV - Organised - Copy/Don't forget a jacket/Fear - Unspecified - Female - 1004.wav
fear,AudioWAV - Organised - Copy/Don't forget a jacket/Fear - Unspecified - Male - 1048.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Male - 1069.wav
sad,AudioWAV - Organised - Copy/Don't forget a jacket/Sad - Unspecified - Female - 1063.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Female - 1012.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Female - 1006.wav
sad,AudioWAV - Organised - Copy/Don't forget a jacket/Sad - Unspecified - Male - 1014.wav
sad,AudioWAV - Organised - Copy/Don't forget a jacket/Sad - Unspecified - Male - 1015.wav
sad,AudioWAV - Organised - Copy/Don't forget a jacket/Sad - Unspecified - Male - 1001.wav
sad,AudioWAV - Organised - Copy/Don't forget a jacket/Sad - Unspecified - Female - 1089.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Female - 1007.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Female - 1013.wav
sad,AudioWAV - Organised - Copy/Don't forget a jacket/Sad - Unspecified - Female - 1076.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Male - 1083.wav
happy,AudioWAV - Organised - Copy/Don't forget a jacket/Happy - Unspecified - Female - 1037.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Male - 1068.wav
neutral,AudioWAV - Organised - Copy/Don't forget a jacket/Neutral - Unspecified - Male - 1040.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1040.wav
angry,AudioWAV - Organised - Copy/Don't forget a jacket/Anger - Unspecified - Female - 1054.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1068.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1083.wav
happy,AudioWAV - Organised - Copy/Don't forget a jacket/Happy - Unspecified - Male - 1035.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Female - 1028.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Female - 1002.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1081.wav
happy,AudioWAV - Organised - Copy/Don't forget a jacket/Happy - Unspecified - Male - 1023.wav
angry,AudioWAV - Organised - Copy/Don't forget a jacket/Anger - Unspecified - Female - 1056.wav
angry,AudioWAV - Organised - Copy/Don't forget a jacket/Anger - Unspecified - Male - 1038.wav
disgust,AudioWAV - Organised - Copy/Don't forget a jacket/Disgust - Unspecified - Male - 1042.wav
fear,AudioWAV - Organised - Copy/Don't forget a jacket/Fear - Unspecified - Female - 1007.wav
happy,AudioWAV - Organised - Copy/Don't forget a jacket/Happy - Unspecified - Female - 1009.wav
